Month,Geography,Seasonal adjustment,Prices,North American Industry Classification System (NAICS),Value,Monthly Change,Yearly change,Indexed value
Nov 2019,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,099,164",  0.0%,  1.9%,143.5
Dec 2019,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,109,773",  0.5%,  2.3%,144.2
Jan 2020,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,111,889",  0.1%,  2.1%,144.3
Feb 2020,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,116,239",  0.2%,  2.6%,144.6
Mar 2020,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,956,667", -7.5%, -5.6%,133.7
Apr 2020,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,747,909",-10.7%,-16.2%,119.5
May 2020,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,827,719",  4.6%,-12.6%,124.9
Jun 2020,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,935,937",  5.9%, -7.7%,132.3
Jul 2020,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,986,260",  2.6%, -5.3%,135.7
Aug 2020,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,006,168",  1.0%, -4.3%,137.1
Sep 2020,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,024,936",  0.9%, -3.5%,138.4
Oct 2020,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,037,235",  0.6%, -3.0%,139.2
Nov 2020,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,050,923",  0.7%, -2.3%,140.2
Dec 2020,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,056,578",  0.3%, -2.5%,140.6
Jan 2021,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,069,959",  0.7%, -2.0%,141.5
Feb 2021,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,074,161",  0.2%, -2.0%,141.8
Mar 2021,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,095,037",  1.0%,  7.1%,143.2
Apr 2021,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,074,294", -1.0%, 18.7%,141.8
May 2021,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,068,403", -0.3%, 13.2%,141.4
Jun 2021,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,086,880",  0.9%,  7.8%,142.6
Jul 2021,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,101,011",  0.7%,  5.8%,143.6
Aug 2021,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,118,070",  0.8%,  5.6%,144.8
Sep 2021,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,127,260",  0.4%,  5.1%,145.4
Oct 2021,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,144,935",  0.8%,  5.3%,146.6
Nov 2021,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,156,435",  0.5%,  5.1%,147.4
Dec 2021,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,165,059",  0.4%,  5.3%,148.0
Jan 2022,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,157,548", -0.3%,  4.2%,147.5
Feb 2022,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,173,306",  0.7%,  4.8%,148.5
Mar 2022,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,188,890",  0.7%,  4.5%,149.6
Apr 2022,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,187,675", -0.1%,  5.5%,149.5
May 2022,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,193,450",  0.3%,  6.0%,149.9
Jun 2022,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,198,676",  0.2%,  5.4%,150.3
Jul 2022,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,201,010",  0.1%,  4.8%,150.4
Aug 2022,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,206,930",  0.3%,  4.2%,150.8
Sep 2022,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,210,482",  0.2%,  3.9%,151.1
Oct 2022,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,206,747", -0.2%,  2.9%,150.8
Nov 2022,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,205,410", -0.1%,  2.3%,150.7
Dec 2022,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,198,020", -0.3%,  1.5%,150.2
Jan 2023,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,219,088",  1.0%,  2.9%,151.7
Feb 2023,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,223,989",  0.2%,  2.3%,152.0
Mar 2023,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,230,182",  0.3%,  1.9%,152.4
Apr 2023,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,229,312",  0.0%,  1.9%,152.4
May 2023,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,231,269",  0.1%,  1.7%,152.5
Jun 2023,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,228,073", -0.1%,  1.3%,152.3
Jul 2023,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,228,857",  0.0%,  1.3%,152.3
Aug 2023,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,231,565",  0.1%,  1.1%,152.5
Sep 2023,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,230,741",  0.0%,  0.9%,152.5
Oct 2023,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,234,639",  0.2%,  1.3%,152.7
Nov 2023,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,238,191",  0.2%,  1.5%,153.0
Dec 2023,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,234,502", -0.2%,  1.7%,152.7
Jan 2024,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,242,265",  0.3%,  1.0%,153.2
Feb 2024,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,249,888",  0.3%,  1.2%,153.8
Mar 2024,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,248,842",  0.0%,  0.8%,153.7
Apr 2024,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,257,127",  0.4%,  1.2%,154.3
May 2024,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,259,508",  0.1%,  1.3%,154.4
Jun 2024,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,260,473",  0.0%,  1.5%,154.5
Jul 2024,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,262,854",  0.1%,  1.5%,154.7
Aug 2024,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,264,354",  0.1%,  1.5%,154.8
Sep 2024,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,269,777",  0.2%,  1.7%,155.1
Oct 2024,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,276,983",  0.3%,  1.9%,155.6
,,,,,,,,
"Source: Statistics Canada. Table 36 10 0434 Gross domestic product (GDP) at basic prices, by industry, monthly",,,,,,,,
